"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comdrogas.1","comtabagis.0","comtabagis.1","escol4.0","escol4.1","fxet3.1","hiv3.0","hiv3.2","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",43,1.24543004165646,0.811320754716981,0.0727580372250423,47,1.1901028277635,0.783333333333333,0.0795262267343486
"4",4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",32,1.4034879406308,0.914285714285714,0.0541455160744501,29,1.33512502921243,0.878787878787879,0.0490693739424704
"5",5,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",30,1.27922077922078,0.833333333333333,0.050761421319797,33,1.1659592275961,0.767441860465116,0.0558375634517767
"6",6,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",29,1.27191094619666,0.828571428571429,0.0490693739424704,32,1.15754682335659,0.761904761904762,0.0541455160744501
"7",7,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",60,1.18081918081918,0.769230769230769,0.101522842639594,63,1.15318858983492,0.759036144578313,0.106598984771574
"8",8,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",30,1.27922077922078,0.833333333333333,0.050761421319797,33,1.1659592275961,0.767441860465116,0.0558375634517767
"9",9,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,"encerra2=0",29,1.27191094619666,0.828571428571429,0.0490693739424704,32,1.15754682335659,0.761904761904762,0.0541455160744501
"10",10,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,"encerra2=0",58,1.18711688311688,0.773333333333333,0.0981387478849408,62,1.16290583642769,0.765432098765432,0.104906937394247
"11",11,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",59,1.1916951469583,0.776315789473684,0.0998307952622673,63,1.16725186532071,0.768292682926829,0.106598984771574
"12",12,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",61,1.18530330429065,0.772151898734177,0.10321489001692,64,1.15754682335659,0.761904761904762,0.1082910321489
"13",13,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",24,1.18843736908253,0.774193548387097,0.0406091370558376,29,1.15945068326343,0.763157894736842,0.0490693739424704
"14",14,1,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",24,1.27039856695029,0.827586206896552,0.0406091370558376,29,1.19078718821649,0.783783783783784,0.0490693739424704
"15",15,1,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",27,1.18419294990724,0.771428571428571,0.0456852791878173,29,1.2958566460003,0.852941176470588,0.0490693739424704
