"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comdrogas.1","comtabagis.0","comtabagis.1","escol4.0","escol4.1","fxet3.1","hiv3.0","hiv3.2","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"270",270,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=3",46,1.26241003018342,0.155932203389831,0.077834179357022,40,1.18247298919568,0.136054421768707,0.0676818950930626
"272",272,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=3",38,1.37956876958044,0.170403587443946,0.0642978003384095,33,1.23093915677859,0.141630901287554,0.0558375634517767
"276",276,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=3",37,1.30806962971825,0.161572052401747,0.0626057529610829,32,1.18347934918648,0.136170212765957,0.0541455160744501
"278",278,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=3",30,1.37218481541676,0.169491525423729,0.050761421319797,26,1.20839886756842,0.13903743315508,0.0439932318104907
"289",289,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",46,1.28861923496232,0.15916955017301,0.077834179357022,39,1.17693014705882,0.135416666666667,0.065989847715736
"291",291,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"encerra2=3",38,1.39838107098381,0.172727272727273,0.0642978003384095,32,1.21448754174159,0.139737991266376,0.0541455160744501
"295",295,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",37,1.32543338586495,0.163716814159292,0.0626057529610829,31,1.16634835752483,0.134199134199134,0.0524534686971235
"297",297,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"encerra2=3",30,1.38786692759295,0.171428571428571,0.050761421319797,25,1.18086636828644,0.135869565217391,0.0423011844331641
"337",337,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=3",25,1.56897100987576,0.193798449612403,0.0423011844331641,19,1.14675245098039,0.131944444444444,0.0321489001692047
"2138",2138,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=3",29,1.53451517593339,0.189542483660131,0.0490693739424704,26,1.41231617647059,0.1625,0.0439932318104907
"2149",2149,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",27,1.44760954368139,0.178807947019868,0.0456852791878173,25,1.35799632352941,0.15625,0.0423011844331641
