"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"22",22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",27,1.66426783479349,0.264705882352941,0.0456852791878173,28,1.53122975848987,0.261682242990654,0.0473773265651438
"23",23,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",25,1.96476063829787,0.3125,0.0423011844331641,27,1.83709417453373,0.313953488372093,0.0456852791878173
"24",24,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",25,2.01513911620295,0.320512820512821,0.0423011844331641,27,1.85870704717531,0.317647058823529,0.0456852791878173
"25",25,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",27,1.69755319148936,0.27,0.0456852791878173,28,1.54567532224921,0.264150943396226,0.0473773265651438
"27",27,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",61,1.20984629840929,0.192429022082019,0.10321489001692,71,1.29829826732673,0.221875,0.120135363790186
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",45,1.30984042553191,0.208333333333333,0.0761421319796954,50,1.34826846739974,0.230414746543779,0.0846023688663283
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",67,1.14158450095139,0.181571815718157,0.11336717428088,77,1.20794733628859,0.206434316353887,0.130287648054146
"34",34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",33,1.50346901017576,0.239130434782609,0.0558375634517767,38,1.57699599747209,0.269503546099291,0.0642978003384095
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",65,1.22723787617405,0.195195195195195,0.109983079526227,73,1.26753239122132,0.216617210682493,0.123519458544839
"48",48,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",60,1.29189740600408,0.205479452054795,0.101522842639594,68,1.35340472822792,0.231292517006803,0.115059221658206
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",64,1.23810147299509,0.196923076923077,0.1082910321489,72,1.28056817839839,0.218844984802432,0.121827411167513
"52",52,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",51,1.40021369506643,0.222707423580786,0.0862944162436548,48,1.28251729282517,0.219178082191781,0.0812182741116751
"56",56,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",57,1.2753464072083,0.202846975088968,0.0964467005076142,56,1.21815304207001,0.20817843866171,0.0947546531302876
"57",57,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",58,1.23613415073927,0.196610169491525,0.0981387478849408,60,1.18211821182118,0.202020202020202,0.101522842639594
"58",58,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",51,1.35294909776461,0.215189873417722,0.0862944162436548,49,1.26309591311554,0.215859030837004,0.0829103214890017
"71",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",43,1.30604378661733,0.207729468599034,0.0727580372250423,46,1.29407844630617,0.221153846153846,0.077834179357022
"72",72,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",40,1.45369573238224,0.23121387283237,0.0676818950930626,42,1.4456610366919,0.247058823529412,0.0710659898477157
"73",73,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",37,1.51056921801603,0.24025974025974,0.0626057529610829,38,1.47255917644745,0.251655629139073,0.0642978003384095
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",45,1.26306041033435,0.200892857142857,0.0761421319796954,49,1.27432343234323,0.217777777777778,0.0829103214890017
"75",75,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",41,1.40861527729334,0.224043715846995,0.0693739424703892,43,1.42154723946971,0.242937853107345,0.0727580372250423
"76",76,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",41,1.34961568452712,0.214659685863874,0.0693739424703892,44,1.34096534653465,0.229166666666667,0.0744500846023689
"77",77,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",37,1.47232695933208,0.234177215189873,0.0626057529610829,38,1.45331003688604,0.248366013071895,0.0642978003384095
"88",88,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",25,1.6545352743561,0.263157894736842,0.0423011844331641,27,1.42333422531442,0.243243243243243,0.0456852791878173
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",33,1.22046307884856,0.194117647058824,0.0558375634517767,44,1.53253182461103,0.261904761904762,0.0744500846023689
"91",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",29,1.39183043690109,0.221374045801527,0.0490693739424704,38,1.68451845184518,0.287878787878788,0.0642978003384095
"93",93,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"encerra2=1",25,1.89374519354012,0.301204819277108,0.0423011844331641,26,1.55243483532027,0.26530612244898,0.0439932318104907
"94",94,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",64,1.31069374177005,0.208469055374593,0.1082910321489,67,1.32003200320032,0.225589225589226,0.11336717428088
"95",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",48,1.30643824260846,0.207792207792208,0.0812182741116751,55,1.41776071880316,0.242290748898678,0.0930626057529611
"96",96,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",33,1.5718085106383,0.25,0.0558375634517767,40,1.77317731773177,0.303030303030303,0.0676818950930626
"97",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",33,1.39247465371983,0.221476510067114,0.0558375634517767,42,1.63841584158416,0.28,0.0710659898477157
"98",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",45,1.43617021276596,0.228426395939086,0.0761421319796954,43,1.26439126324693,0.21608040201005,0.0727580372250423
"99",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,1,"encerra2=1",28,1.76042553191489,0.28,0.0473773265651438,26,1.39576709964574,0.238532110091743,0.0439932318104907
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",56,1.38072590738423,0.219607843137255,0.0947546531302876,55,1.26208503203262,0.215686274509804,0.0930626057529611
"101",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",45,1.30984042553191,0.208333333333333,0.0761421319796954,46,1.22349234923492,0.209090909090909,0.077834179357022
"102",102,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",41,1.47300911854103,0.234285714285714,0.0693739424703892,39,1.34239953407105,0.229411764705882,0.065989847715736
