"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"7",7,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",25,1.45337399173716,0.113122171945701,0.0423011844331641,28,1.5393488372093,0.130232558139535,0.0473773265651438
"8",8,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",25,1.47337455125648,0.114678899082569,0.0423011844331641,28,1.58354066985646,0.133971291866029,0.0473773265651438
"36",36,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",29,1.34507926542144,0.104693140794224,0.0490693739424704,33,1.45544776119403,0.123134328358209,0.0558375634517767
"38",38,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",24,1.52647438656909,0.118811881188119,0.0406091370558376,27,1.62,0.137055837563452,0.0456852791878173
"39",39,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",23,1.40714285714286,0.10952380952381,0.038917089678511,25,1.46287128712871,0.123762376237624,0.0423011844331641
"40",40,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",27,1.28478260869565,0.1,0.0456852791878173,32,1.39571955719557,0.118081180811808,0.0541455160744501
"41",41,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",21,1.56862992922144,0.122093023255814,0.0355329949238579,25,1.76946107784431,0.149700598802395,0.0423011844331641
"42",42,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",23,1.42753623188406,0.111111111111111,0.038917089678511,25,1.5,0.126903553299492,0.0423011844331641
"43",43,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",27,1.31398221343874,0.102272727272727,0.0456852791878173,32,1.4436641221374,0.122137404580153,0.0541455160744501
"44",44,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",24,1.54948656325104,0.120603015075377,0.0406091370558376,27,1.67089005235602,0.141361256544503,0.0456852791878173
"53",53,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",29,1.3748596181614,0.107011070110701,0.0490693739424704,33,1.50602316602317,0.127413127413127,0.0558375634517767
"54",54,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"encerra2=2",21,1.38361204013378,0.107692307692308,0.0355329949238579,20,1.22487046632124,0.103626943005181,0.0338409475465313
"55",55,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=2",21,1.34231018818949,0.104477611940299,0.0355329949238579,20,1.17029702970297,0.099009900990099,0.0338409475465313
"61",61,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",30,1.30214453584019,0.101351351351351,0.050761421319797,35,1.45157894736842,0.12280701754386,0.0592216582064298
